volume_id,dataset,source_format,si_flipped,orig_size,orig_spacing,resampled_size,crop_shape,fov_mm,fov_voxels,clipped_z,clipped_y,clipped_x,final_shape,output_spacing_mm,phys_fov_mm,hu_min_raw,hu_max_raw,intensity_min,intensity_max,envelope_retention,source_path,output_path
VSD_001_Left,healthy,nifti,True,"(121, 130, 332)","(0.976562, 0.976562, 0.599679)","(236, 254, 398)","(398, 238, 236)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,3057.0,0.0,1.0,0.9996,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.001/VSD_001_Left.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_001_Left.nii.gz
VSD_001_Right,healthy,nifti,True,"(132, 126, 332)","(0.976562, 0.976562, 0.599679)","(258, 246, 398)","(398, 226, 240)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,2307.0,0.0,1.0,0.9996,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.001/VSD_001_Right.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_001_Right.nii.gz
VSD_002_Left,healthy,nifti,False,"(111, 116, 332)","(0.976562, 0.976562, 0.599827)","(217, 227, 398)","(398, 227, 217)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,3071.0,0.0,1.0,0.9999,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.002/VSD_002_Left.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_002_Left.nii.gz
VSD_002_Right,healthy,nifti,False,"(113, 115, 332)","(0.976562, 0.976562, 0.599827)","(221, 225, 398)","(398, 225, 221)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,2336.0,0.0,1.0,1.0,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.002/VSD_002_Right.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_002_Right.nii.gz
VSD_005_Left,healthy,nifti,False,"(131, 138, 332)","(0.859375, 0.859375, 0.599828)","(225, 237, 398)","(398, 225, 225)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,1752.0,0.0,1.0,1.0,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.005/VSD_005_Left.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_005_Left.nii.gz
VSD_005_Right,healthy,nifti,False,"(129, 130, 332)","(0.859375, 0.859375, 0.599828)","(222, 223, 398)","(398, 217, 222)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,1703.0,0.0,1.0,1.0,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.005/VSD_005_Right.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_005_Right.nii.gz
VSD_006_Left,healthy,nifti,False,"(113, 104, 284)","(0.976562, 0.976562, 0.699755)","(221, 203, 397)","(397, 203, 221)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,2138.0,0.0,1.0,0.9993,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.006/VSD_006_Left.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_006_Left.nii.gz
VSD_006_Right,healthy,nifti,False,"(128, 135, 284)","(0.976562, 0.976562, 0.699755)","(250, 264, 397)","(397, 264, 250)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,2258.0,0.0,1.0,0.9999,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.006/VSD_006_Right.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_006_Right.nii.gz
VSD_010_Left,healthy,nifti,False,"(127, 134, 332)","(0.826172, 0.826172, 0.6)","(210, 221, 398)","(398, 210, 210)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,1967.0,0.0,1.0,1.0,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.010/VSD_010_Left.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_010_Left.nii.gz
VSD_010_Right,healthy,nifti,False,"(125, 136, 332)","(0.826172, 0.826172, 0.6)","(207, 225, 398)","(398, 219, 207)",200.0,400,False,False,False,"(256, 256, 256)",0.78125,200.0,-1024.0,1993.0,0.0,1.0,1.0,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/raw/healthy/VSD.010/VSD_010_Right.nii.gz,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/data/interim/predrr_lps_256_v1/healthy/VSD_010_Right.nii.gz
