epoch,mean_loss,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula,consecutive_passes,dice_VSD_016_Left_femur,target_voxels_VSD_016_Left_femur,predicted_voxels_VSD_016_Left_femur,maximum_probability_VSD_016_Left_femur,mean_target_probability_VSD_016_Left_femur,dice_VSD_016_Left_tibia,target_voxels_VSD_016_Left_tibia,predicted_voxels_VSD_016_Left_tibia,maximum_probability_VSD_016_Left_tibia,mean_target_probability_VSD_016_Left_tibia,dice_VSD_016_Left_patella,target_voxels_VSD_016_Left_patella,predicted_voxels_VSD_016_Left_patella,maximum_probability_VSD_016_Left_patella,mean_target_probability_VSD_016_Left_patella,dice_VSD_016_Left_fibula,target_voxels_VSD_016_Left_fibula,predicted_voxels_VSD_016_Left_fibula,maximum_probability_VSD_016_Left_fibula,mean_target_probability_VSD_016_Left_fibula,dice_Case14_PartRight_femur,target_voxels_Case14_PartRight_femur,predicted_voxels_Case14_PartRight_femur,maximum_probability_Case14_PartRight_femur,mean_target_probability_Case14_PartRight_femur,dice_Case14_PartRight_tibia,target_voxels_Case14_PartRight_tibia,predicted_voxels_Case14_PartRight_tibia,maximum_probability_Case14_PartRight_tibia,mean_target_probability_Case14_PartRight_tibia,dice_Case14_PartRight_patella,target_voxels_Case14_PartRight_patella,predicted_voxels_Case14_PartRight_patella,maximum_probability_Case14_PartRight_patella,mean_target_probability_Case14_PartRight_patella,dice_Case14_PartRight_fibula,target_voxels_Case14_PartRight_fibula,predicted_voxels_Case14_PartRight_fibula,maximum_probability_Case14_PartRight_fibula,mean_target_probability_Case14_PartRight_fibula
0,1.1238480806350708,0.04323235899209976,0.24531778693199158,0.003454244928434491,0.008283263072371483,0,0.046648867428302765,394926,16536932,0.8214474320411682,0.7224941849708557,0.24531778693199158,298939,1722969,0.7896904349327087,0.6645683646202087,0.0042996155098080635,35620,16533304,0.9583306312561035,0.8869268894195557,0.008283263072371483,28983,5538388,0.9520155787467957,0.7774330973625183,0.04323235899209976,365441,16540461,0.8469025492668152,0.7016503810882568,0.34296712279319763,387588,1608440,0.8164474964141846,0.688090980052948,0.003454244928434491,28935,16724365,0.9653506875038147,0.8806397914886475,0.014603410847485065,48958,5436199,0.9651004672050476,0.7790072560310364
10,0.7348964810371399,0.5160830020904541,0.37450212240219116,0.04199647158384323,0.04132886230945587,0,0.5160830020904541,394926,1108836,0.9987013339996338,0.916557788848877,0.37450212240219116,298939,1281223,0.9493876695632935,0.8280993103981018,0.04199647158384323,35620,1660713,0.9942306280136108,0.9527536630630493,0.04132886230945587,28983,1373572,0.9646647572517395,0.8451119661331177,0.6162954568862915,365441,787003,0.9977375268936157,0.9056701064109802,0.4312170445919037,387588,1383149,0.9735677242279053,0.874122679233551,0.057375311851501465,28935,979687,0.9927700161933899,0.935282289981842,0.06648289412260056,48958,1423541,0.9791739583015442,0.882844090461731
20,0.6444031894207001,0.5943785309791565,0.4314849376678467,0.09677204489707947,0.05771218240261078,0,0.5943785309791565,394926,933941,0.9975844621658325,0.9647873640060425,0.4314849376678467,298939,1086435,0.987393856048584,0.9411692023277283,0.09677204489707947,35620,700543,0.9993900060653687,0.9912614822387695,0.05771218240261078,28983,975415,0.983809232711792,0.9241493940353394,0.6748552322387695,365441,712894,0.9981179237365723,0.9625256657600403,0.4575246274471283,387588,1305864,0.9924732446670532,0.9522371888160706,0.20854654908180237,28935,248557,0.9994444251060486,0.9819124341011047,0.07936140149831772,48958,1184740,0.9872360825538635,0.9473156332969666
30,0.5738460719585419,0.6745598912239075,0.5379645824432373,0.09128569811582565,0.11368735879659653,0,0.6745598912239075,394926,775781,0.999028205871582,0.9633768200874329,0.5577163696289062,298939,772118,0.9979866743087769,0.9649797677993774,0.09128569811582565,35620,744787,0.9998470544815063,0.9982589483261108,0.11368735879659653,28983,480889,0.9961280822753906,0.9669826626777649,0.7449646592140198,365441,614780,0.9987030029296875,0.9668915271759033,0.5379645824432373,387588,1052979,0.9972518086433411,0.9651727676391602,0.14868007600307465,28935,360290,0.9999508857727051,0.9979694485664368,0.14578254520893097,48958,622549,0.9989575147628784,0.9694725871086121
40,0.5255628228187561,0.7201564908027649,0.5807441473007202,0.3017071485519409,0.1499837040901184,0,0.7201564908027649,394926,701744,0.9993423819541931,0.9738215804100037,0.5999940037727356,298939,696811,0.9994858503341675,0.9764049053192139,0.3017071485519409,35620,200503,0.9995686411857605,0.9934181571006775,0.1499837040901184,28983,357499,0.9992759823799133,0.9772799015045166,0.7612403035163879,365441,593720,0.9988105297088623,0.9733843803405762,0.5807441473007202,387588,946249,0.9992260932922363,0.9772857427597046,0.47585374116897583,28935,92678,0.999775230884552,0.9899374842643738,0.1959809511899948,48958,450662,0.9997934699058533,0.979685366153717
50,0.4808683693408966,0.8068681955337524,0.643559992313385,0.35006165504455566,0.1579381823539734,0,0.8068681955337524,394926,581749,0.9980173110961914,0.9536957740783691,0.6686791181564331,298939,591847,0.9984941482543945,0.9566978812217712,0.35006165504455566,35620,167887,0.9995344877243042,0.9933245182037354,0.1579381823539734,28983,338034,0.9989240765571594,0.9798998832702637,0.82719886302948,365441,510155,0.9971687197685242,0.9452641606330872,0.643559992313385,387588,814836,0.9980849027633667,0.9566469192504883,0.4908352196216583,28935,88962,0.9998489618301392,0.990730881690979,0.21075084805488586,48958,415638,0.999721348285675,0.9850760698318481
60,0.4432522654533386,0.8004142045974731,0.71766197681427,0.22148504853248596,0.23326921463012695,0,0.8004142045974731,394926,590049,0.9993672966957092,0.9715518951416016,0.7396595478057861,298939,502865,0.9988478422164917,0.950346052646637,0.22148504853248596,35620,286027,0.9900763630867004,0.9704633951187134,0.23326921463012695,28983,219511,0.9988695979118347,0.9749224185943604,0.8232558369636536,365441,519482,0.9989270567893982,0.9741992950439453,0.71766197681427,387588,688785,0.9986153841018677,0.9522887468338013,0.531436562538147,28935,76086,0.9914299845695496,0.8789135217666626,0.27834251523017883,48958,302731,0.9999349117279053,0.9837416410446167
70,0.4309029281139374,0.7205531001091003,0.7357767820358276,0.41054603457450867,0.12290149927139282,0,0.7205531001091003,394926,700513,0.9999397993087769,0.9910088181495667,0.7587083578109741,298939,482468,0.9990391731262207,0.9446097016334534,0.41054603457450867,35620,137905,0.9976770281791687,0.9861962795257568,0.12290149927139282,28983,442663,0.9996401071548462,0.9950175285339355,0.7302913069725037,365441,634916,0.9999699592590332,0.9943332076072693,0.7357767820358276,387588,661241,0.9992617964744568,0.9493839740753174,0.5459536910057068,28935,77063,0.9985657334327698,0.9760469198226929,0.16607190668582916,48958,540630,0.999962568283081,0.9973317384719849
80,0.3576062470674515,0.8404096961021423,0.7841646075248718,0.4829961359500885,0.3211893141269684,0,0.8404096961021423,394926,538721,0.9995321035385132,0.9704576730728149,0.8059875965118408,298939,432643,0.9998886585235596,0.9579187631607056,0.4829961359500885,35620,111876,0.9998005032539368,0.9942779541015625,0.3211893141269684,28983,151490,0.9990168809890747,0.9695470929145813,0.8555424213409424,365441,479866,0.9994741082191467,0.9694221615791321,0.7841646075248718,387588,591107,0.999848484992981,0.9611087441444397,0.5416257381439209,28935,77910,0.9999544620513916,0.9950647950172424,0.37404245138168335,48958,212777,0.9999511241912842,0.983081579208374
90,0.3141246438026428,0.8946505784988403,0.8414540886878967,0.6389885544776917,0.5404748320579529,0,0.8946505784988403,394926,480513,0.9996339082717896,0.9663794636726379,0.8519783020019531,298939,383961,0.9998432397842407,0.9395096302032471,0.6402387022972107,35620,75651,0.9998921155929565,0.9906631708145142,0.5404748320579529,28983,77960,0.9998904466629028,0.9584701061248779,0.896461546421051,365441,442906,0.9995736479759216,0.9685885310173035,0.8414540886878967,387588,512202,0.9998185038566589,0.9384875297546387,0.6389885544776917,28935,61630,0.9999833106994629,0.9931791424751282,0.5984042882919312,48958,114480,0.9999963045120239,0.9796279668807983
