epoch,mean_loss,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula,consecutive_passes,dice_VSD_016_Left_femur,target_voxels_VSD_016_Left_femur,predicted_voxels_VSD_016_Left_femur,maximum_probability_VSD_016_Left_femur,mean_target_probability_VSD_016_Left_femur,dice_VSD_016_Left_tibia,target_voxels_VSD_016_Left_tibia,predicted_voxels_VSD_016_Left_tibia,maximum_probability_VSD_016_Left_tibia,mean_target_probability_VSD_016_Left_tibia,dice_VSD_016_Left_patella,target_voxels_VSD_016_Left_patella,predicted_voxels_VSD_016_Left_patella,maximum_probability_VSD_016_Left_patella,mean_target_probability_VSD_016_Left_patella,dice_VSD_016_Left_fibula,target_voxels_VSD_016_Left_fibula,predicted_voxels_VSD_016_Left_fibula,maximum_probability_VSD_016_Left_fibula,mean_target_probability_VSD_016_Left_fibula
0,1.1987247467041016,0.0471319742500782,0.053972624242305756,0.002632981166243553,0.010240128263831139,0,0.0471319742500782,394926,16197080,0.6513854265213013,0.554773211479187,0.053972624242305756,298939,9927727,0.8158777952194214,0.7140325903892517,0.002632981166243553,35620,3652215,0.748698353767395,0.4694278836250305,0.010240128263831139,28983,4329556,0.8999812006950378,0.7164706587791443
10,0.8280811309814453,0.32193079590797424,0.34228983521461487,0.03412977606058121,0.023952189832925797,0,0.32193079590797424,394926,1743515,0.9861504435539246,0.851967990398407,0.34228983521461487,298939,1414825,0.9818577766418457,0.8931184411048889,0.03412977606058121,35620,2051707,0.9793981909751892,0.9425190091133118,0.023952189832925797,28983,2391088,0.9878349900245667,0.9223781824111938
20,0.7185894250869751,0.4639787971973419,0.5123095512390137,0.11281557381153107,0.0691399872303009,0,0.4639787971973419,394926,1306281,0.9968026876449585,0.9421730041503906,0.5123095512390137,298939,868082,0.9934293627738953,0.9659600257873535,0.11281557381153107,35620,595339,0.9972997307777405,0.9140693545341492,0.0691399872303009,28983,809403,0.9911854863166809,0.977314293384552
30,0.6782675385475159,0.6686707735061646,0.5932930111885071,0.19800108671188354,0.08228430151939392,0,0.6686707735061646,394926,786301,0.9983392953872681,0.9720790982246399,0.5932930111885071,298939,708789,0.9923073649406433,0.9446835517883301,0.19800108671188354,35620,324176,0.9989920258522034,0.9823707938194275,0.08228430151939392,28983,675477,0.9903662204742432,0.9659022092819214
40,0.6434196829795837,0.7136591672897339,0.6376878619194031,0.36377933621406555,0.08880139887332916,0,0.7136591672897339,394926,711818,0.998296320438385,0.9781637787818909,0.6376878619194031,298939,638482,0.9964176416397095,0.9613184332847595,0.36377933621406555,35620,160213,0.9995514750480652,0.9911764860153198,0.08880139887332916,28983,623777,0.9958933591842651,0.9734458327293396
50,0.6150113344192505,0.7796496152877808,0.7431021332740784,0.4287640154361725,0.11196672916412354,0,0.7796496152877808,394926,618088,0.9971946477890015,0.9689612984657288,0.7431021332740784,298939,504030,0.9990965127944946,0.9552688598632812,0.4287640154361725,35620,130532,0.9998005032539368,0.9912614822387695,0.11196672916412354,28983,487992,0.9989746809005737,0.9374566078186035
60,0.5999887585639954,0.7878609895706177,0.6813309192657471,0.4390619695186615,0.10300195962190628,0,0.7878609895706177,394926,607596,0.9958498477935791,0.9725965261459351,0.6813309192657471,298939,575024,0.9928640127182007,0.9352955222129822,0.4390619695186615,35620,126635,0.999620795249939,0.987421452999115,0.10300195962190628,28983,533783,0.9888916611671448,0.9497089385986328
70,0.5748908519744873,0.8012303113937378,0.6870201826095581,0.3782701790332794,0.10470359027385712,0,0.8012303113937378,394926,590828,0.9961227774620056,0.9748315811157227,0.6870201826095581,298939,570788,0.9987125396728516,0.9605996012687683,0.3782701790332794,35620,152711,0.9995803236961365,0.9931232929229736,0.10470359027385712,28983,524637,0.9990010857582092,0.9864147305488586
80,0.5521245002746582,0.828070878982544,0.7553210258483887,0.4546818137168884,0.1289833039045334,0,0.828070878982544,394926,558874,0.9969925880432129,0.9744815826416016,0.7553210258483887,298939,492171,0.9990054965019226,0.9641866683959961,0.4546818137168884,35620,121061,0.9995157718658447,0.9932986497879028,0.1289833039045334,28983,420424,0.9994671940803528,0.9839410185813904
90,0.5321525931358337,0.8525939583778381,0.7688643932342529,0.5392068028450012,0.14580588042736053,0,0.8525939583778381,394926,531325,0.9975565671920776,0.9745851755142212,0.7688643932342529,298939,478280,0.9993125200271606,0.9736106395721436,0.5392068028450012,35620,96500,0.9995005130767822,0.9939833879470825,0.14580588042736053,28983,368573,0.9998294115066528,0.9944839477539062
100,0.5278552174568176,0.7572935223579407,0.806017279624939,0.4532700479030609,0.3780399560928345,0,0.7572935223579407,394926,648054,0.9990645051002502,0.9914740324020386,0.806017279624939,298939,436611,0.9942935109138489,0.9258239269256592,0.4532700479030609,35620,121549,0.9986251592636108,0.9933965802192688,0.3780399560928345,28983,124350,0.9962809681892395,0.9784135222434998
110,0.5090252757072449,0.842840313911438,0.7156839966773987,0.5558199882507324,0.2267228364944458,0,0.842840313911438,394926,541892,0.9960631728172302,0.9669660925865173,0.7156839966773987,298939,536385,0.9889073371887207,0.9690101742744446,0.5558199882507324,35620,92551,0.9991377592086792,0.9924880862236023,0.2267228364944458,28983,226686,0.9981229901313782,0.9903205633163452
120,0.48616155982017517,0.8448922038078308,0.7875014543533325,0.5379242897033691,0.3844587504863739,0,0.8448922038078308,394926,539882,0.9955984354019165,0.9730449318885803,0.7875014543533325,298939,460158,0.9933384656906128,0.9752609729766846,0.5379242897033691,35620,96815,0.9996997117996216,0.9944137930870056,0.3844587504863739,28983,121790,0.9992274045944214,0.9919725060462952
130,0.4693564474582672,0.8723364472389221,0.8563206791877747,0.6571167707443237,0.4657212793827057,0,0.8723364472389221,394926,510344,0.9956259727478027,0.9728697538375854,0.8563206791877747,298939,398510,0.992792010307312,0.9668106436729431,0.6571167707443237,35620,72793,0.9997183680534363,0.9941532611846924,0.4657212793827057,28983,95482,0.9997132420539856,0.9908052086830139
140,0.4535104036331177,0.8911364078521729,0.8640382289886475,0.6937316656112671,0.5080458521842957,0,0.8911364078521729,394926,490981,0.9958892464637756,0.9728131294250488,0.8640382289886475,298939,392954,0.9955744743347168,0.9776211380958557,0.6937316656112671,35620,67071,0.9996174573898315,0.9930750131607056,0.5080458521842957,28983,85113,0.9997531771659851,0.9932884573936462
