epoch,mean_loss,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula,consecutive_passes,dice_VSD_016_Left_femur,target_voxels_VSD_016_Left_femur,predicted_voxels_VSD_016_Left_femur,maximum_probability_VSD_016_Left_femur,mean_target_probability_VSD_016_Left_femur,dice_VSD_016_Left_tibia,target_voxels_VSD_016_Left_tibia,predicted_voxels_VSD_016_Left_tibia,maximum_probability_VSD_016_Left_tibia,mean_target_probability_VSD_016_Left_tibia,dice_VSD_016_Left_patella,target_voxels_VSD_016_Left_patella,predicted_voxels_VSD_016_Left_patella,maximum_probability_VSD_016_Left_patella,mean_target_probability_VSD_016_Left_patella,dice_VSD_016_Left_fibula,target_voxels_VSD_016_Left_fibula,predicted_voxels_VSD_016_Left_fibula,maximum_probability_VSD_016_Left_fibula,mean_target_probability_VSD_016_Left_fibula,dice_Case14_PartRight_femur,target_voxels_Case14_PartRight_femur,predicted_voxels_Case14_PartRight_femur,maximum_probability_Case14_PartRight_femur,mean_target_probability_Case14_PartRight_femur,dice_Case14_PartRight_tibia,target_voxels_Case14_PartRight_tibia,predicted_voxels_Case14_PartRight_tibia,maximum_probability_Case14_PartRight_tibia,mean_target_probability_Case14_PartRight_tibia,dice_Case14_PartRight_patella,target_voxels_Case14_PartRight_patella,predicted_voxels_Case14_PartRight_patella,maximum_probability_Case14_PartRight_patella,mean_target_probability_Case14_PartRight_patella,dice_Case14_PartRight_fibula,target_voxels_Case14_PartRight_fibula,predicted_voxels_Case14_PartRight_fibula,maximum_probability_Case14_PartRight_fibula,mean_target_probability_Case14_PartRight_fibula
0,1.1526464223861694,0.05031704157590866,0.07080168277025223,0.007229490205645561,0.0068046823143959045,0,0.053710442036390305,394926,14260399,0.8686378598213196,0.7734701633453369,0.07080168277025223,298939,6954872,0.8456718325614929,0.7470294833183289,0.008791578933596611,35620,8067589,0.8695191740989685,0.622612476348877,0.0068046823143959045,28983,6734889,0.967715859413147,0.8081612586975098,0.05031704157590866,365441,14092682,0.8889632821083069,0.7489955425262451,0.09731312096118927,387588,6802419,0.8625602722167969,0.7674807906150818,0.007229490205645561,28935,7975779,0.8816529512405396,0.6618236303329468,0.012279273010790348,48958,6482862,0.9767372012138367,0.8147943615913391
10,0.7728387415409088,0.18971030414104462,0.3630058467388153,0.051353588700294495,0.025723783299326897,0,0.21515031158924103,394926,3271413,0.996732234954834,0.9447714686393738,0.3630058467388153,298939,1309564,0.9509165287017822,0.858457624912262,0.056591782718896866,35620,1223220,0.9992328882217407,0.9955177903175354,0.025723783299326897,28983,2224418,0.9456016421318054,0.8869566917419434,0.18971030414104462,365441,3476501,0.9959217309951782,0.9441185593605042,0.42899492383003235,387588,1398531,0.9661648869514465,0.9068769812583923,0.051353588700294495,28935,1097958,0.9995816349983215,0.9934266805648804,0.04764973744750023,48958,1994495,0.961685299873352,0.880344033241272
20,0.6684341430664062,0.67344069480896,0.46615540981292725,0.15947385132312775,0.05762171000242233,0,0.67344069480896,394926,777590,0.9950981736183167,0.962088942527771,0.46615540981292725,298939,981398,0.9707819223403931,0.9426888823509216,0.15947385132312775,35620,411099,0.9977879524230957,0.9891999959945679,0.05762171000242233,28983,976992,0.9609749913215637,0.9348011016845703,0.6836358308792114,365441,701200,0.9962789416313171,0.9677594304084778,0.5064970254898071,387588,1138107,0.9704445600509644,0.9464555382728577,0.26457154750823975,28935,189796,0.9983665347099304,0.9780869483947754,0.08424223959445953,48958,1111315,0.9716991782188416,0.9354003071784973
30,0.6075499653816223,0.6973952651023865,0.5301985740661621,0.20089958608150482,0.0645933449268341,0,0.6973952651023865,394926,737439,0.9911537766456604,0.9631629586219788,0.5301985740661621,298939,828133,0.996021568775177,0.9634684920310974,0.20089958608150482,35620,318985,0.9971892237663269,0.9924489259719849,0.0645933449268341,28983,868416,0.9986206293106079,0.9807633757591248,0.6979931592941284,365441,680383,0.9916408061981201,0.9640562534332275,0.5434440970420837,387588,1038612,0.9945576190948486,0.9590021371841431,0.21880671381950378,28935,235545,0.998820960521698,0.9821812510490417,0.09021115303039551,48958,1036451,0.9990496039390564,0.9869309067726135
40,0.5742141604423523,0.7191579937934875,0.5997215509414673,0.1340448260307312,0.09492943435907364,0,0.7191579937934875,394926,701979,0.9893709421157837,0.9566179513931274,0.5997215509414673,298939,684374,0.9972946047782898,0.9479786157608032,0.1340448260307312,35620,495844,0.9989128112792969,0.9973412752151489,0.09492943435907364,28983,581639,0.9979686141014099,0.9815053343772888,0.7405015826225281,365441,620380,0.9915505647659302,0.9623100161552429,0.600361168384552,387588,898771,0.9971537590026855,0.9608335494995117,0.2070549726486206,28935,250556,0.9996827840805054,0.9956270456314087,0.14528481662273407,48958,623996,0.9994046688079834,0.9780993461608887
50,0.5255379974842072,0.7519100904464722,0.6244920492172241,0.1963670402765274,0.17398220300674438,0,0.7551389932632446,394926,631399,0.991784930229187,0.9467768669128418,0.6296516060829163,298939,646190,0.9959322810173035,0.958109438419342,0.1963670402765274,35620,327170,0.9960810542106628,0.9874385595321655,0.17398220300674438,28983,304189,0.9983159303665161,0.9803548455238342,0.7519100904464722,365441,602696,0.9922745823860168,0.9655560851097107,0.6244920492172241,387588,849539,0.9955341815948486,0.9585883021354675,0.3247620463371277,28935,149257,0.9976880550384521,0.9839695692062378,0.2402935028076172,48958,358527,0.999586284160614,0.9851659536361694
60,0.48110145330429077,0.8003517985343933,0.7159705758094788,0.35803133249282837,0.23887547850608826,0,0.807288408279419,394926,581585,0.9945629239082336,0.9706709384918213,0.7317395210266113,298939,516045,0.9974017143249512,0.9655083417892456,0.35803133249282837,35620,163357,0.9978274703025818,0.989709198474884,0.23887547850608826,28983,213679,0.9996678829193115,0.9905205368995667,0.8003517985343933,365441,543042,0.9945407509803772,0.9692997932434082,0.7159705758094788,387588,692962,0.995731770992279,0.9650711417198181,0.5300761461257935,28935,80238,0.9986233711242676,0.98298180103302,0.33294567465782166,48958,245114,0.9999688863754272,0.9858644008636475
70,0.43850263953208923,0.8265349268913269,0.8187929391860962,0.38186925649642944,0.40365272760391235,0,0.8330032825469971,394926,549937,0.9926289319992065,0.9653792977333069,0.8270838856697083,298939,410428,0.996006190776825,0.9481920599937439,0.38186925649642944,35620,150936,0.9977697134017944,0.9927706718444824,0.40365272760391235,28983,114581,0.9981279969215393,0.9651138186454773,0.8265349268913269,365441,513641,0.9927493333816528,0.9647734761238098,0.8187929391860962,387588,548551,0.99394291639328,0.9487966299057007,0.5224291682243347,28935,81836,0.998943030834198,0.9883066415786743,0.5052458643913269,48958,144528,0.9998014569282532,0.9701281189918518
80,0.42481738328933716,0.8313444256782532,0.7753983736038208,0.3664100170135498,0.1260368824005127,0,0.8313444256782532,394926,512604,0.9973031282424927,0.9363110065460205,0.7984996438026428,298939,436097,0.9941153526306152,0.9445167183876038,0.3664100170135498,35620,158807,0.998141884803772,0.9946629405021667,0.1260368824005127,28983,430930,0.9996460676193237,0.9878250956535339,0.8326714634895325,365441,500281,0.9968630075454712,0.9630218148231506,0.7753983736038208,387588,603451,0.9926003813743591,0.9534144401550293,0.44756725430488586,28935,100364,0.9990888833999634,0.9898453950881958,0.1369381695985794,48958,666080,0.9999744892120361,0.989919126033783
90,0.40036459267139435,0.8283795118331909,0.7982075810432434,0.2791908085346222,0.36461204290390015,0,0.8343852162361145,394926,545153,0.9937435984611511,0.9595801830291748,0.8037154674530029,298939,436575,0.998387336730957,0.9655101895332336,0.2791908085346222,35620,219546,0.9877332448959351,0.975848376750946,0.36461204290390015,28983,129975,0.9909370541572571,0.9426735639572144,0.8283795118331909,365441,511389,0.993800938129425,0.9618077874183655,0.7982075810432434,387588,576710,0.9975428581237793,0.9676188826560974,0.30164635181427,28935,162700,0.9923473596572876,0.9540717601776123,0.4364595115184784,48958,174797,0.9986591339111328,0.9642638564109802
