epoch,mean_loss,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula,consecutive_passes,dice_VSD_016_Left_femur,target_voxels_VSD_016_Left_femur,predicted_voxels_VSD_016_Left_femur,maximum_probability_VSD_016_Left_femur,mean_target_probability_VSD_016_Left_femur,dice_VSD_016_Left_tibia,target_voxels_VSD_016_Left_tibia,predicted_voxels_VSD_016_Left_tibia,maximum_probability_VSD_016_Left_tibia,mean_target_probability_VSD_016_Left_tibia,dice_VSD_016_Left_patella,target_voxels_VSD_016_Left_patella,predicted_voxels_VSD_016_Left_patella,maximum_probability_VSD_016_Left_patella,mean_target_probability_VSD_016_Left_patella,dice_VSD_016_Left_fibula,target_voxels_VSD_016_Left_fibula,predicted_voxels_VSD_016_Left_fibula,maximum_probability_VSD_016_Left_fibula,mean_target_probability_VSD_016_Left_fibula
0,1.2368625402450562,0.04599612578749657,3.274136821038165e-12,0.0023259923327714205,0.0046939542517066,0,0.04599612578749657,394926,16777216,0.7376887202262878,0.6410775184631348,3.274136821038165e-12,298939,6485,0.5302050113677979,0.4168383479118347,0.0023259923327714205,35620,8762345,0.6338235139846802,0.49193358421325684,0.0046939542517066,28983,9545461,0.5920292735099792,0.5296880602836609
10,0.6931902170181274,0.31965214014053345,0.46062910556793213,0.11946305632591248,0.045925140380859375,0,0.31965214014053345,394926,2016708,0.9917369484901428,0.881020188331604,0.46062910556793213,298939,970095,0.9588157534599304,0.8748011589050293,0.11946305632591248,35620,560715,0.9777504205703735,0.9152794480323792,0.045925140380859375,28983,1225711,0.9689770936965942,0.8303345441818237
20,0.4715806245803833,0.5140160322189331,0.6513670682907104,0.3842405676841736,0.08105874806642532,0,0.5140160322189331,394926,1108171,0.9994850158691406,0.9096736907958984,0.6513670682907104,298939,590105,0.9967490434646606,0.9267693161964417,0.3842405676841736,35620,143955,0.9960981607437134,0.8777621388435364,0.08105874806642532,28983,683784,0.9715011119842529,0.9147633910179138
30,0.41138407588005066,0.7689752578735352,0.6782985925674438,0.15894903242588043,0.15215212106704712,0,0.7689752578735352,394926,610672,0.999901294708252,0.9434106945991516,0.6782985925674438,298939,577442,0.9988683462142944,0.9731130599975586,0.15894903242588043,35620,412574,0.9999990463256836,0.9997850656509399,0.15215212106704712,28983,351991,0.9937105178833008,0.945713996887207
40,0.3278789520263672,0.7890103459358215,0.6234379410743713,0.6022194623947144,0.19093376398086548,0,0.7890103459358215,394926,585558,0.9999983310699463,0.9611827731132507,0.6234379410743713,298939,659267,0.99993896484375,0.9950562715530396,0.6022194623947144,35620,81344,0.9985361099243164,0.9383426904678345,0.19093376398086548,28983,273855,0.9998236298561096,0.9806706309318542
50,0.20132766664028168,0.8040622472763062,0.7665367722511292,0.682820200920105,0.47867411375045776,0,0.8040622472763062,394926,586988,0.9999998807907104,0.9929736852645874,0.7665367722511292,298939,462757,0.9999592304229736,0.9629750847816467,0.682820200920105,35620,68712,0.9999943971633911,0.995027482509613,0.47867411375045776,28983,92114,0.9999138116836548,0.9859008193016052
60,0.1496482491493225,0.915214478969574,0.8171638250350952,0.7586544752120972,0.8931289911270142,0,0.915214478969574,394926,428363,0.9999998807907104,0.9327405691146851,0.8171638250350952,298939,397455,0.9999741315841675,0.9350572824478149,0.7586544752120972,35620,58233,0.9999983310699463,0.9935864806175232,0.8931289911270142,28983,27777,0.9998832941055298,0.8283938765525818
70,0.11221902817487717,0.8940467238426208,0.8062653541564941,0.8631035089492798,0.784707248210907,0,0.8940467238426208,394926,480724,0.9999998807907104,0.9761608242988586,0.8062653541564941,298939,429382,0.9999967813491821,0.9713758230209351,0.8631035089492798,35620,46873,1.0,0.9906155467033386,0.784707248210907,28983,44856,0.9999979734420776,0.9936869740486145
80,0.09387800097465515,0.8988097906112671,0.8234321475028992,0.8878046274185181,0.8329906463623047,0,0.8988097906112671,394926,467875,1.0,0.9676993489265442,0.8234321475028992,298939,419340,0.9999991655349731,0.9791065454483032,0.8878046274185181,35620,44517,1.0,0.9910519123077393,0.8329906463623047,28983,40564,0.9999997615814209,0.9931120872497559
90,0.08348476886749268,0.9348760843276978,0.8509708046913147,0.9576385617256165,0.858863115310669,0,0.9348760843276978,394926,440712,1.0,0.9726704955101013,0.8509708046913147,298939,396636,0.9999997615814209,0.9789577722549438,0.9576385617256165,35620,36946,1.0,0.9584790468215942,0.858863115310669,28983,38448,1.0,0.9928475022315979
100,0.08522283285856247,0.9249725341796875,0.8811509609222412,0.860908567905426,0.8834846019744873,0,0.9249725341796875,394926,454496,1.0,0.9830045104026794,0.8811509609222412,298939,370776,0.9999998807907104,0.9738795161247253,0.860908567905426,35620,47081,1.0,0.9964303970336914,0.8834846019744873,28983,36562,1.0,0.9935822486877441
110,0.06458921730518341,0.9209911227226257,0.9073843359947205,0.9120137691497803,0.9359644651412964,1,0.9209911227226257,394926,461041,1.0,0.9903299808502197,0.9073843359947205,298939,333902,0.9999997615814209,0.9447577595710754,0.9120137691497803,35620,42199,1.0,0.9914446473121643,0.9359644651412964,28983,29953,1.0,0.9385851621627808
120,0.061320710927248,0.9472274780273438,0.9087797403335571,0.9409523010253906,0.8878401517868042,0,0.9472274780273438,394926,429651,1.0,0.9752094149589539,0.9087797403335571,298939,346159,0.9999998807907104,0.9665237069129944,0.9409523010253906,35620,39963,1.0,0.9913954734802246,0.8878401517868042,28983,36281,1.0,0.995930552482605
130,0.0500270314514637,0.9455351829528809,0.9215148687362671,0.9571276903152466,0.9279393553733826,1,0.9455351829528809,394926,434325,1.0,0.980954647064209,0.9215148687362671,298939,336710,1.0,0.9677189588546753,0.9571276903152466,35620,38717,1.0,0.9899185299873352,0.9279393553733826,28983,33284,1.0,0.9866685271263123
140,0.044429242610931396,0.9446917176246643,0.9166133999824524,0.9675707221031189,0.9441498517990112,2,0.9446917176246643,394926,438656,1.0,0.9877084493637085,0.9166133999824524,298939,350458,1.0,0.9867181181907654,0.9675707221031189,35620,37863,1.0,0.9880062341690063,0.9441498517990112,28983,32306,1.0,0.9891483783721924
