epoch,mean_loss,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula,consecutive_passes,dice_VSD_016_Left_femur,target_voxels_VSD_016_Left_femur,predicted_voxels_VSD_016_Left_femur,maximum_probability_VSD_016_Left_femur,mean_target_probability_VSD_016_Left_femur,dice_VSD_016_Left_tibia,target_voxels_VSD_016_Left_tibia,predicted_voxels_VSD_016_Left_tibia,maximum_probability_VSD_016_Left_tibia,mean_target_probability_VSD_016_Left_tibia,dice_VSD_016_Left_patella,target_voxels_VSD_016_Left_patella,predicted_voxels_VSD_016_Left_patella,maximum_probability_VSD_016_Left_patella,mean_target_probability_VSD_016_Left_patella,dice_VSD_016_Left_fibula,target_voxels_VSD_016_Left_fibula,predicted_voxels_VSD_016_Left_fibula,maximum_probability_VSD_016_Left_fibula,mean_target_probability_VSD_016_Left_fibula,dice_Case14_PartRight_femur,target_voxels_Case14_PartRight_femur,predicted_voxels_Case14_PartRight_femur,maximum_probability_Case14_PartRight_femur,mean_target_probability_Case14_PartRight_femur,dice_Case14_PartRight_tibia,target_voxels_Case14_PartRight_tibia,predicted_voxels_Case14_PartRight_tibia,maximum_probability_Case14_PartRight_tibia,mean_target_probability_Case14_PartRight_tibia,dice_Case14_PartRight_patella,target_voxels_Case14_PartRight_patella,predicted_voxels_Case14_PartRight_patella,maximum_probability_Case14_PartRight_patella,mean_target_probability_Case14_PartRight_patella,dice_Case14_PartRight_fibula,target_voxels_Case14_PartRight_fibula,predicted_voxels_Case14_PartRight_fibula,maximum_probability_Case14_PartRight_fibula,mean_target_probability_Case14_PartRight_fibula
0,1.1956972479820251,0.08844748884439468,0.5332217216491699,0.010228818282485008,0.0247600506991148,0,0.10089515894651413,394926,6623389,0.6918235421180725,0.5757114291191101,0.5332217216491699,298939,421328,0.5518516302108765,0.48731884360313416,0.01226230151951313,35620,5774056,0.6289530396461487,0.5813700556755066,0.0247600506991148,28983,1698154,0.6043310165405273,0.5224915146827698,0.08844748884439468,365441,6554552,0.7015275359153748,0.5814995169639587,0.5575849413871765,387588,446319,0.5572340488433838,0.4939407408237457,0.010228818282485008,28935,5628610,0.618187427520752,0.576917290687561,0.04150617867708206,48958,1556827,0.6139081716537476,0.5287054777145386
10,0.5071590840816498,0.6975440979003906,0.7756968140602112,0.10730855166912079,0.07758062332868576,0,0.7176441550254822,394926,603488,0.9991750121116638,0.8519865274429321,0.7756968140602112,298939,404426,0.9963531494140625,0.8681569695472717,0.10730855166912079,35620,628260,0.999671220779419,0.9834274053573608,0.07758062332868576,28983,693981,0.9804531335830688,0.8111264705657959,0.6975440979003906,365441,617456,0.9995337724685669,0.8841261267662048,0.7762235403060913,387588,560948,0.9975574016571045,0.9088709354400635,0.17583252489566803,28935,300185,0.9998001456260681,0.9803153872489929,0.115379199385643,48958,760148,0.9916092753410339,0.8782371282577515
20,0.44184912741184235,0.7459643483161926,0.7793275713920593,0.29122722148895264,0.13868355751037598,0,0.7459643483161926,394926,644306,0.9999977350234985,0.9613519906997681,0.7795794010162354,298939,438923,0.9999006986618042,0.9401062726974487,0.29122722148895264,35620,209000,0.9997085928916931,0.9904258251190186,0.13868355751037598,28983,382962,0.9960010647773743,0.8997920751571655,0.7847470045089722,365441,542054,0.9999954700469971,0.9572287201881409,0.7793275713920593,387588,583657,0.9998797178268433,0.9533599615097046,0.3783069849014282,28935,124036,0.9999905824661255,0.9973145127296448,0.20554721355438232,48958,421873,0.9978591799736023,0.9486352801322937
30,0.29906655848026276,0.8278437852859497,0.7937501072883606,0.28029587864875793,0.15428102016448975,0,0.8278437852859497,394926,541642,0.999995231628418,0.9615730047225952,0.8151794075965881,298939,409970,0.9999549388885498,0.9439651370048523,0.28029587864875793,35620,218540,0.999955415725708,0.9970234632492065,0.15428102016448975,28983,346734,0.997687578201294,0.97454833984375,0.8596276044845581,365441,467764,0.9999954700469971,0.9608316421508789,0.7937501072883606,387588,569038,0.9999697208404541,0.9599366784095764,0.3394553065299988,28935,141544,0.9999998807907104,0.9985101819038391,0.22957126796245575,48958,377341,0.999506950378418,0.975659966468811
40,0.2426261380314827,0.8472083210945129,0.8001183271408081,0.8234698176383972,0.31639695167541504,0,0.8472083210945129,394926,512787,0.9999998807907104,0.9610718488693237,0.8197137117385864,298939,407798,0.9999914169311523,0.9533215761184692,0.8332464098930359,35620,44930,0.9998972415924072,0.9138357043266296,0.31639695167541504,28983,150532,0.993959903717041,0.8939255475997925,0.8713893294334412,365441,453410,0.9999996423721313,0.9637986421585083,0.8001183271408081,387588,565546,0.9999949932098389,0.9698032140731812,0.8234698176383972,28935,40141,0.9999997615814209,0.9726443886756897,0.4259982407093048,48958,173057,0.99946528673172,0.9171724915504456
50,0.2077336087822914,0.883061408996582,0.8363034725189209,0.8511407375335693,0.38121935725212097,0,0.883061408996582,394926,468262,1.0,0.9501843452453613,0.8422503471374512,298939,370660,0.9999980926513672,0.9255411624908447,0.8511407375335693,35620,45732,0.999984622001648,0.9549346566200256,0.38121935725212097,28983,122982,0.9999946355819702,0.9866647124290466,0.8952140212059021,365441,413079,1.0,0.9398818016052246,0.8363034725189209,387588,497110,0.9999996423721313,0.9412176012992859,0.9231246709823608,28935,29055,0.9999991655349731,0.9067485332489014,0.4576064944267273,48958,163032,0.9999998807907104,0.9750297665596008
60,0.16452272236347198,0.8517958521842957,0.7911573648452759,0.7185819745063782,0.4653623402118683,0,0.8517958521842957,394926,524785,1.0,0.9830156564712524,0.8075540065765381,298939,431692,0.9999990463256836,0.9744842648506165,0.7185819745063782,35620,63503,1.0,0.9982848763465881,0.4653623402118683,28983,95578,0.9999977350234985,0.9986209869384766,0.8706919550895691,365441,469070,1.0,0.9866679310798645,0.7911573648452759,387588,586193,0.9999997615814209,0.982528805732727,0.8474661111831665,28935,39063,1.0,0.9919117093086243,0.6070828437805176,48958,112249,0.9999998807907104,0.9948350191116333
70,0.1218099519610405,0.8550155758857727,0.7986988425254822,0.864288866519928,0.4886850118637085,0,0.8550155758857727,394926,523359,1.0,0.9861624240875244,0.8142147064208984,298939,430306,0.9999996423721313,0.981840968132019,0.864288866519928,35620,46584,0.9999998807907104,0.9866156578063965,0.4886850118637085,28983,88958,0.9999994039535522,0.9900360703468323,0.883141279220581,365441,455542,1.0,0.9827916622161865,0.7986988425254822,387588,574930,0.9999998807907104,0.979591429233551,0.8928052186965942,28935,35695,1.0,0.9899373054504395,0.6242800354957581,48958,106956,0.9999998807907104,0.9897973537445068
80,0.1031045988202095,0.881833553314209,0.8469618558883667,0.8305807113647461,0.780332088470459,0,0.881833553314209,394926,485476,1.0,0.974416971206665,0.8596294522285461,298939,382201,0.9999998807907104,0.9672158360481262,0.9444034695625305,35620,36201,1.0,0.9328240156173706,0.8413978815078735,28983,39320,0.9999997615814209,0.9795936346054077,0.9074126482009888,365441,426935,1.0,0.9728651642799377,0.8469618558883667,387588,501040,1.0,0.959355354309082,0.8305807113647461,28935,40272,1.0,0.9884219169616699,0.780332088470459,48958,76017,1.0,0.9899007678031921
90,0.1030268743634224,0.8964838981628418,0.8032045364379883,0.9112890958786011,0.7556252479553223,0,0.8964838981628418,394926,480822,1.0,0.9855974316596985,0.8219360709190369,298939,426059,1.0,0.991213321685791,0.9112890958786011,35620,37911,1.0,0.9283928275108337,0.7780047059059143,28983,45433,1.0,0.9946590065956116,0.9068195819854736,365441,432495,1.0,0.9812822937965393,0.8032045364379883,387588,574914,1.0,0.9915947914123535,0.9140122532844543,28935,33132,1.0,0.9723237156867981,0.7556252479553223,48958,80458,1.0,0.9951920509338379
