epoch,mean_loss,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula,consecutive_passes,dice_VSD_016_Left_femur,target_voxels_VSD_016_Left_femur,predicted_voxels_VSD_016_Left_femur,maximum_probability_VSD_016_Left_femur,mean_target_probability_VSD_016_Left_femur,dice_VSD_016_Left_tibia,target_voxels_VSD_016_Left_tibia,predicted_voxels_VSD_016_Left_tibia,maximum_probability_VSD_016_Left_tibia,mean_target_probability_VSD_016_Left_tibia,dice_VSD_016_Left_patella,target_voxels_VSD_016_Left_patella,predicted_voxels_VSD_016_Left_patella,maximum_probability_VSD_016_Left_patella,mean_target_probability_VSD_016_Left_patella,dice_VSD_016_Left_fibula,target_voxels_VSD_016_Left_fibula,predicted_voxels_VSD_016_Left_fibula,maximum_probability_VSD_016_Left_fibula,mean_target_probability_VSD_016_Left_fibula
0,1.2320407629013062,0.07877910882234573,0.1346956342458725,0.010528123006224632,0.004108126275241375,0,0.07877910882234573,394926,8965881,0.8535363078117371,0.5791972875595093,0.1346956342458725,298939,3148181,0.6188486814498901,0.5293660163879395,0.010528123006224632,35620,6731018,0.793262243270874,0.755504846572876,0.004108126275241375,28983,13483746,0.7365298867225647,0.56512451171875
10,0.6393682360649109,0.33721664547920227,0.3957855701446533,0.082107774913311,0.03695761784911156,0,0.33721664547920227,394926,1849121,0.9983206391334534,0.8829230070114136,0.3957855701446533,298939,1203895,0.9973400235176086,0.9368902444839478,0.082107774913311,35620,831874,0.9935552477836609,0.9659848213195801,0.03695761784911156,28983,1538867,0.9709898829460144,0.8687448501586914
20,0.4356437623500824,0.6539130806922913,0.7094371318817139,0.203651562333107,0.11783815175294876,0,0.6539130806922913,394926,802178,0.9999970197677612,0.9644248485565186,0.7094371318817139,298939,506835,0.9996583461761475,0.9203851222991943,0.203651562333107,35620,313820,0.9953505992889404,0.9369479417800903,0.11783815175294876,28983,462929,0.9919936656951904,0.9167657494544983
30,0.5155136585235596,0.8690283298492432,0.8308342695236206,0.6728715300559998,0.3187723457813263,0,0.8690283298492432,394926,427229,0.9999823570251465,0.873354434967041,0.8308342695236206,298939,314690,0.9997633099555969,0.8166007995605469,0.6728715300559998,35620,65698,0.9952719807624817,0.8681941032409668,0.3187723457813263,28983,152827,0.9995132684707642,0.9596431255340576
40,0.23303952813148499,0.8665101528167725,0.7644041776657104,0.48239436745643616,0.6655754446983337,0,0.8665101528167725,394926,496655,0.9999998807907104,0.9627496600151062,0.7644041776657104,298939,464903,0.999998927116394,0.9628686904907227,0.48239436745643616,35620,112060,0.9999951124191284,0.9943119287490845,0.6655754446983337,28983,57772,0.9999195337295532,0.9704327583312988
50,0.13399329781532288,0.8422766923904419,0.7779805660247803,0.7427589297294617,0.8781325221061707,0,0.8422766923904419,394926,531183,0.9999996423721313,0.9745264649391174,0.7779805660247803,298939,458846,0.9999998807907104,0.9743029475212097,0.7427589297294617,35620,59773,0.9999926090240479,0.9831802248954773,0.8781325221061707,28983,34504,0.9999982118606567,0.9307742118835449
60,0.18202686309814453,0.88736891746521,0.8436358571052551,0.926940381526947,0.8244870901107788,0,0.88736891746521,394926,490318,0.9999998807907104,0.9834776520729065,0.8436358571052551,298939,390567,0.9999998807907104,0.9538367390632629,0.926940381526947,35620,35938,0.9999932050704956,0.8990548253059387,0.8244870901107788,28983,41160,1.0,0.9888585805892944
70,0.10976944863796234,0.919807493686676,0.7989841103553772,0.9273804426193237,0.9408400654792786,0,0.919807493686676,394926,446287,0.9999998807907104,0.9639171361923218,0.7989841103553772,298939,443669,1.0,0.9845221638679504,0.9273804426193237,35620,37487,0.9999958276748657,0.9198482036590576,0.9408400654792786,28983,28370,0.9999998807907104,0.9005478620529175
80,0.10664068162441254,0.9323660135269165,0.8527042269706726,0.8498466610908508,0.7369652390480042,0,0.9323660135269165,394926,429186,0.9999998807907104,0.9520190954208374,0.8527042269706726,298939,392975,1.0,0.9719286561012268,0.8498466610908508,35620,48181,1.0,0.9948181509971619,0.7369652390480042,28983,49672,1.0,0.9997326731681824
90,0.08533219248056412,0.9091425538063049,0.861524224281311,0.896442174911499,0.9259950518608093,0,0.9091425538063049,394926,471090,1.0,0.9870114922523499,0.861524224281311,298939,387217,1.0,0.9735710024833679,0.896442174911499,35620,43698,1.0,0.9887677431106567,0.9259950518608093,28983,32121,1.0,0.9621102213859558
100,0.06891675293445587,0.9276884198188782,0.8729888796806335,0.8947811126708984,0.9018542170524597,0,0.9276884198188782,394926,449987,1.0,0.9794999361038208,0.8729888796806335,298939,380726,1.0,0.9795696139335632,0.8947811126708984,35620,43995,1.0,0.9962124228477478,0.9018542170524597,28983,35034,1.0,0.9892615079879761
110,0.059581559151411057,0.9349821209907532,0.9006592631340027,0.9097758531570435,0.9494523406028748,1,0.9349821209907532,394926,444951,1.0,0.9817778468132019,0.9006592631340027,298939,357227,1.0,0.9729760885238647,0.9097758531570435,35620,42685,1.0,0.9964497089385986,0.9494523406028748,28983,31732,1.0,0.9803438186645508
120,0.05675594508647919,0.944416344165802,0.9065799117088318,0.9143414497375488,0.9143496751785278,2,0.944416344165802,394926,429687,1.0,0.9729876518249512,0.9065799117088318,298939,355856,1.0,0.9796568155288696,0.9143414497375488,35620,42294,1.0,0.9969102144241333,0.9143496751785278,28983,24607,1.0,0.8401692509651184
