epoch,mean_loss,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula,consecutive_passes,dice_VSD_016_Left_femur,target_voxels_VSD_016_Left_femur,predicted_voxels_VSD_016_Left_femur,maximum_probability_VSD_016_Left_femur,mean_target_probability_VSD_016_Left_femur,dice_VSD_016_Left_tibia,target_voxels_VSD_016_Left_tibia,predicted_voxels_VSD_016_Left_tibia,maximum_probability_VSD_016_Left_tibia,mean_target_probability_VSD_016_Left_tibia,dice_VSD_016_Left_patella,target_voxels_VSD_016_Left_patella,predicted_voxels_VSD_016_Left_patella,maximum_probability_VSD_016_Left_patella,mean_target_probability_VSD_016_Left_patella,dice_VSD_016_Left_fibula,target_voxels_VSD_016_Left_fibula,predicted_voxels_VSD_016_Left_fibula,maximum_probability_VSD_016_Left_fibula,mean_target_probability_VSD_016_Left_fibula,dice_Case14_PartRight_femur,target_voxels_Case14_PartRight_femur,predicted_voxels_Case14_PartRight_femur,maximum_probability_Case14_PartRight_femur,mean_target_probability_Case14_PartRight_femur,dice_Case14_PartRight_tibia,target_voxels_Case14_PartRight_tibia,predicted_voxels_Case14_PartRight_tibia,maximum_probability_Case14_PartRight_tibia,mean_target_probability_Case14_PartRight_tibia,dice_Case14_PartRight_patella,target_voxels_Case14_PartRight_patella,predicted_voxels_Case14_PartRight_patella,maximum_probability_Case14_PartRight_patella,mean_target_probability_Case14_PartRight_patella,dice_Case14_PartRight_fibula,target_voxels_Case14_PartRight_fibula,predicted_voxels_Case14_PartRight_fibula,maximum_probability_Case14_PartRight_fibula,mean_target_probability_Case14_PartRight_fibula
0,1.1657046675682068,0.11088136583566666,0.1541639119386673,0.013214156962931156,0.01701890490949154,0,0.11906716972589493,394926,5898278,0.8145611882209778,0.6937338709831238,0.1541639119386673,298939,2931830,0.9282063245773315,0.7818187475204468,0.015874702483415604,35620,4452023,0.8512473702430725,0.6824265718460083,0.01701890490949154,28983,2659204,0.7736968994140625,0.6299480199813843,0.11088136583566666,365441,5746100,0.8417755365371704,0.6826122403144836,0.19671489298343658,387588,3100211,0.9325058460235596,0.8073410391807556,0.013214156962931156,28935,4135084,0.8488638401031494,0.6896384358406067,0.027559855952858925,48958,2793800,0.8133722543716431,0.6380398869514465
10,0.5480765104293823,0.38881441950798035,0.7129072546958923,0.05721300095319748,0.052074965089559555,0,0.4132849872112274,394926,1465640,0.9998852014541626,0.9266636371612549,0.7129072546958923,298939,470976,0.9980765581130981,0.8662706017494202,0.05721300095319748,35620,1083706,0.9740617275238037,0.7375807166099548,0.052074965089559555,28983,1058987,0.9854373335838318,0.8169830441474915,0.38881441950798035,365441,1461770,0.9998962879180908,0.9142506718635559,0.7300546169281006,387588,627295,0.9997130036354065,0.9041547775268555,0.0696655884385109,28935,782312,0.9762254953384399,0.8172566294670105,0.07224214822053909,48958,1293527,0.9949082732200623,0.9170593023300171
20,0.3402354121208191,0.7299473285675049,0.772100567817688,0.1299298256635666,0.1414691060781479,0,0.7299473285675049,394926,683919,0.9999990463256836,0.9881299138069153,0.7942330837249756,298939,420681,0.9999940395355225,0.9372386336326599,0.1299298256635666,35620,512676,0.9997605681419373,0.9952395558357239,0.1414691060781479,28983,374257,0.9980169534683228,0.8988073468208313,0.7888166308403015,365441,554390,0.9999977350234985,0.9831459522247314,0.772100567817688,387588,585464,0.9999995231628418,0.953178882598877,0.3068464994430542,28935,158957,0.9993529915809631,0.9765753746032715,0.2064831256866455,48958,421618,0.9998142123222351,0.959520161151886
30,0.2808850407600403,0.8326575756072998,0.764748215675354,0.32645082473754883,0.15489280223846436,0,0.8326575756072998,394926,529221,0.9999971389770508,0.9570181965827942,0.7896367907524109,298939,439983,0.999991774559021,0.9571329951286316,0.32645082473754883,35620,182275,0.9999926090240479,0.9964483976364136,0.15489280223846436,28983,345250,0.9998965263366699,0.990882158279419,0.8516756892204285,365441,470929,0.9999943971633911,0.9602864384651184,0.764748215675354,387588,614653,0.9999982118606567,0.9765835404396057,0.5658398270606995,28935,72698,0.9999996423721313,0.9891186356544495,0.23737722635269165,48958,363491,0.999993085861206,0.9915414452552795
40,0.24289274215698242,0.7931087613105774,0.8082051277160645,0.40409278869628906,0.30539795756340027,0,0.7931087613105774,394926,597112,0.9999996423721313,0.9876775741577148,0.8177464008331299,298939,399209,0.9999971389770508,0.9308481216430664,0.40409278869628906,35620,140592,0.9999994039535522,0.9980124235153198,0.30539795756340027,28983,158569,0.9993415474891663,0.9434249997138977,0.8193166851997375,365441,521586,0.9999997615814209,0.9862281084060669,0.8082051277160645,387588,552604,0.9999992847442627,0.9615482687950134,0.6759346723556519,28935,56017,0.9999998807907104,0.9882379174232483,0.4928675591945648,48958,146697,0.9999246597290039,0.929657518863678
50,0.21145029366016388,0.8373903632164001,0.7721346020698547,0.6088353991508484,0.19530192017555237,0,0.8373903632164001,394926,532768,0.9999994039535522,0.9722269773483276,0.7844122648239136,298939,448033,0.9999998807907104,0.9709444046020508,0.6088353991508484,35620,80753,0.9999994039535522,0.9898325800895691,0.19530192017555237,28983,267819,0.999995231628418,0.9978004097938538,0.8742051720619202,365441,462884,0.9999991655349731,0.9796600937843323,0.7721346020698547,387588,608228,1.0,0.9830594658851624,0.8796706795692444,28935,34707,0.9999997615814209,0.9520120620727539,0.27838385105133057,48958,302765,0.9999998807907104,0.9992327690124512
60,0.1635994017124176,0.8444122076034546,0.809613049030304,0.8258795738220215,0.618510365486145,0,0.8444122076034546,394926,524407,1.0,0.9729560613632202,0.8203866481781006,298939,398871,0.9999995231628418,0.9349123239517212,0.8258795738220215,35620,37967,0.9999904632568359,0.83747398853302,0.618510365486145,28983,63992,0.9998733997344971,0.9515730142593384,0.8760273456573486,365441,458063,1.0,0.976872444152832,0.809613049030304,387588,552923,0.9999998807907104,0.9666901230812073,0.8978870511054993,28935,32164,1.0,0.9356696605682373,0.6391900181770325,48958,103535,0.9999997615814209,0.982245683670044
70,0.1322784274816513,0.8649030327796936,0.8169395923614502,0.8520210981369019,0.7312198281288147,0,0.8649030327796936,394926,512267,1.0,0.9845798015594482,0.8274959325790405,298939,404453,0.9999998807907104,0.9517058730125427,0.8520210981369019,35620,38796,0.9999949932098389,0.8750855326652527,0.7499312162399292,28983,47320,0.9999992847442627,0.9745402336120605,0.8812703490257263,365441,457344,1.0,0.9833682179450989,0.8169395923614502,387588,542493,1.0,0.9632881879806519,0.918270468711853,28935,32169,1.0,0.9590861797332764,0.7312198281288147,48958,84627,1.0,0.9885661602020264
80,0.11484760791063309,0.8771198391914368,0.8142446875572205,0.8854818940162659,0.8495036959648132,0,0.8771198391914368,394926,499059,1.0,0.9836770296096802,0.8264051079750061,298939,415195,1.0,0.9727720618247986,0.8854818940162659,35620,44673,1.0,0.9919655323028564,0.8744667768478394,28983,34546,0.9999997615814209,0.9402129054069519,0.8872528076171875,365441,453728,1.0,0.9873539209365845,0.8142446875572205,387588,552859,1.0,0.9759971499443054,0.9286874532699585,28935,33256,1.0,0.9889472126960754,0.8495036959648132,48958,62460,1.0,0.9507602453231812
90,0.10078699141740799,0.8855383992195129,0.8536354303359985,0.8857967853546143,0.7962935566902161,0,0.8855383992195129,394926,478913,1.0,0.9697427749633789,0.864875853061676,298939,374760,1.0,0.9560671448707581,0.922932505607605,35620,40028,1.0,0.9686115980148315,0.8239794373512268,28983,41344,1.0,0.9953934550285339,0.9109451770782471,365441,418402,1.0,0.9642509818077087,0.8536354303359985,387588,496977,1.0,0.9567314386367798,0.8857967853546143,28935,35459,1.0,0.9797348976135254,0.7962935566902161,48958,73748,1.0,0.994016170501709
