epoch,train_loss,validation_loss,train_macro_dice,validation_macro_dice,validation_dice_femur,validation_dice_tibia,validation_dice_patella,validation_dice_fibula,lr,elapsed_seconds
0,0.5031551207814898,0.4146637300650279,0.17234031856060028,0.31249552965164185,0.573130190372467,0.4619932472705841,0.13759033381938934,0.0772683322429657,9.98458666866564e-05,57.9
1,0.3986201059250605,0.3764488915602366,0.3236830532550812,0.3564547002315521,0.5995396971702576,0.449813574552536,0.2675759494304657,0.1088896170258522,9.938441702975689e-05,98.9
2,0.37568248382636477,0.37540620764096577,0.3641083240509033,0.3964427709579468,0.61101233959198,0.5428913831710815,0.24995604157447815,0.1819114089012146,9.861849601988383e-05,138.9
3,0.36623829248405637,0.3286671320597331,0.38608965277671814,0.44713008403778076,0.6699254512786865,0.5918001532554626,0.33978527784347534,0.1870092749595642,9.755282581475767e-05,178.8
4,0.36948142520018984,0.3434998393058777,0.3855747580528259,0.42150625586509705,0.6763659119606018,0.5792049765586853,0.2640729546546936,0.16638121008872986,9.619397662556432e-05,218.8
5,0.35809059795879183,0.3602799157301585,0.4129546284675598,0.3828504681587219,0.5668048858642578,0.49475154280662537,0.30949410796165466,0.16035133600234985,9.455032620941837e-05,258.3
6,0.3534466787463143,0.32029269138971966,0.41675496101379395,0.46607550978660583,0.6879445314407349,0.6162508130073547,0.3987478017807007,0.16135883331298828,9.26320082177046e-05,297.6
7,0.3321591644060044,0.3179914176464081,0.4407646059989929,0.46602070331573486,0.6931555271148682,0.5677398443222046,0.4116150140762329,0.1915723979473114,9.045084971874737e-05,337.8
8,0.3271167952389944,0.3245169142882029,0.44823113083839417,0.4465200901031494,0.6540971398353577,0.6061088442802429,0.35864192247390747,0.16723257303237915,8.802029828000154e-05,377.0
9,0.32953944695847376,0.32836614847183226,0.45036131143569946,0.4527640640735626,0.6700042486190796,0.5606208443641663,0.3959730565547943,0.18445797264575958,8.535533905932737e-05,416.0
10,0.3274503162219411,0.29786843558152515,0.4578099846839905,0.5034850835800171,0.7040773034095764,0.63093501329422,0.44139379262924194,0.23753438889980316,8.247240241650918e-05,455.0
11,0.3167434221222287,0.30055424372355144,0.47104084491729736,0.49647361040115356,0.7038726806640625,0.6259216070175171,0.4421038329601288,0.21399632096290588,7.938926261462365e-05,495.2
12,0.30603869897978647,0.29726099173227943,0.48380017280578613,0.4979105293750763,0.6785451769828796,0.6454702019691467,0.4386499226093292,0.22897686064243317,7.612492823579742e-05,534.4
