dataset,case,side,variant
fractured,Case11,right,normal
fractured,Case12,right,normal
fractured,Case13,right,normal
fractured,Case14,right,normal
fractured,Case15,right,normal
fractured,Case16,right,normal
fractured,Case2,left,normal
fractured,Case3,left,normal
fractured,Case5,right,normal
fractured,Case6,right,normal
fractured,Case7,right,normal
fractured,Case8,right,normal
fractured,Case9,right,normal
healthy,VSD_001,right,normal
healthy,VSD_002,left,normal
healthy,VSD_002,right,normal
healthy,VSD_005,left,normal
healthy,VSD_005,right,normal
healthy,VSD_006,left,normal
healthy,VSD_006,right,normal
healthy,VSD_010,left,normal
healthy,VSD_010,right,normal
healthy,VSD_014,left,normal
healthy,VSD_014,right,normal
healthy,VSD_015,left,normal
healthy,VSD_015,right,normal
healthy,VSD_016,left,normal
healthy,VSD_016,right,normal
healthy,VSD_017,left,normal
healthy,VSD_017,right,normal
healthy,VSD_019,left,normal
healthy,VSD_019,right,normal
healthy,VSD_023,left,normal
healthy,VSD_023,right,normal
healthy,VSD_z001,left,normal
healthy,VSD_z001,right,normal
healthy,VSD_z004,left,normal
healthy,VSD_z004,right,normal
healthy,VSD_z009,left,normal
healthy,VSD_z009,right,normal
healthy,VSD_z013,left,normal
healthy,VSD_z013,right,normal
healthy,VSD_z023,left,normal
healthy,VSD_z023,right,normal
healthy,VSD_z027,left,normal
healthy,VSD_z027,right,normal
healthy,VSD_z035,left,normal
healthy,VSD_z035,right,normal
healthy,VSD_z036,left,normal
healthy,VSD_z036,right,normal
healthy,VSD_z042,left,normal
healthy,VSD_z042,right,normal
healthy,VSD_z046,left,normal
healthy,VSD_z046,right,normal
healthy,VSD_z049,left,normal
healthy,VSD_z049,right,normal
healthy,VSD_z050,left,normal
healthy,VSD_z055,left,normal
healthy,VSD_z055,right,normal
healthy,VSD_z056,left,normal
healthy,VSD_z056,right,normal
healthy,VSD_z061,left,normal
healthy,VSD_z061,right,normal
healthy,VSD_z062,left,normal
healthy,VSD_z062,right,normal
healthy,VSD_z063,left,normal
healthy,VSD_z064,left,normal
healthy,VSD_z064,right,normal
healthy,VSD_z066,left,normal
healthy,VSD_z066,right,normal
healthy,VSD_001,left,rot0_noflip_noise0_brighten
healthy,VSD_001,left,rot0_noflip_noise_bc0
healthy,VSD_001,left,rot0_noflip_noise_brighten
healthy,VSD_001,left,rot0_flip_noise0_bc0
healthy,VSD_001,left,rot0_flip_noise0_brighten
healthy,VSD_001,left,rot0_flip_noise_bc0
healthy,VSD_001,left,rot0_flip_noise_brighten
healthy,VSD_001,left,rotm5_noflip_noise0_bc0
healthy,VSD_001,left,rotm5_noflip_noise0_brighten
healthy,VSD_001,left,rotm5_noflip_noise_bc0
healthy,VSD_001,left,rotm5_noflip_noise_brighten
healthy,VSD_001,left,rotm5_flip_noise0_bc0
healthy,VSD_001,left,rotm5_flip_noise0_brighten
healthy,VSD_001,left,rotm5_flip_noise_bc0
healthy,VSD_001,left,rotm5_flip_noise_brighten
healthy,VSD_001,left,rotp5_noflip_noise0_bc0
healthy,VSD_001,left,rotp5_noflip_noise0_brighten
healthy,VSD_001,left,rotp5_noflip_noise_bc0
healthy,VSD_001,left,rotp5_noflip_noise_brighten
healthy,VSD_001,left,rotp5_flip_noise0_bc0
healthy,VSD_001,left,rotp5_flip_noise0_brighten
healthy,VSD_001,left,rotp5_flip_noise_bc0
healthy,VSD_001,left,rotp5_flip_noise_brighten
healthy,VSD_001,right,rot0_noflip_noise0_brighten
healthy,VSD_001,right,rot0_noflip_noise_bc0
healthy,VSD_001,right,rot0_noflip_noise_brighten
healthy,VSD_001,right,rot0_flip_noise0_bc0
healthy,VSD_001,right,rot0_flip_noise0_brighten
healthy,VSD_001,right,rot0_flip_noise_bc0
healthy,VSD_001,right,rot0_flip_noise_brighten
