fold,arm,arm_label,seed,logit_resolution,parameters,peak_gpu_bytes,gpu_headroom_fraction,wall_seconds
0,plain_unet_style,"U (ReLU, plain)",42,128,8429956,8468765696,0.6422255863322499,2242.5
0,residual_vnet_style,"V (PReLU, residual)",42,128,8605476,8502994432,0.6407795472761957,2234.2
0,residual_relu_style,ReLU + residual,42,128,8604516,8436281856,0.6435979099065301,2226.8
0,plain_prelu_style,PReLU + plain,42,128,8430916,8468094976,0.6422539218020632,2166.7
1,plain_unet_style,"U (ReLU, plain)",42,128,8429956,8398040064,0.6452134859186125,2303.9
1,residual_vnet_style,"V (PReLU, residual)",42,128,8605476,8433841664,0.6437009991043396,2340.0
1,residual_relu_style,ReLU + residual,42,128,8604516,8400525824,0.6451084716392662,2366.9
1,plain_prelu_style,PReLU + plain,42,128,8430916,8429914112,0.6438669238287198,2310.5
2,plain_unet_style,"U (ReLU, plain)",42,128,8429956,8396205056,0.6452910083032011,2299.0
2,residual_vnet_style,"V (PReLU, residual)",42,128,8605476,8433841664,0.6437009991043396,2315.9
2,residual_relu_style,ReLU + residual,42,128,8604516,8400525824,0.6451084716392662,2347.9
2,plain_prelu_style,PReLU + plain,42,128,8430916,8429914112,0.6438669238287198,2291.3
3,plain_unet_style,"U (ReLU, plain)",42,128,8429956,8467192832,0.6422920340904686,2180.6
3,residual_vnet_style,"V (PReLU, residual)",42,128,8605476,8503780864,0.6407463233970863,2220.5
3,residual_relu_style,ReLU + residual,42,128,8604516,8471120384,0.6421261093660884,2235.5
3,plain_prelu_style,PReLU + plain,42,128,8430916,8465473536,0.6423646680657611,2186.4
4,plain_unet_style,"U (ReLU, plain)",42,128,8429956,8398040064,0.6452134859186125,2283.0
4,residual_vnet_style,"V (PReLU, residual)",42,128,8605476,8433841664,0.6437009991043396,2295.5
4,residual_relu_style,ReLU + residual,42,128,8604516,8399870464,0.6451361582051907,2327.8
4,plain_prelu_style,PReLU + plain,42,128,8430916,8429651968,0.6438779984550896,2284.8
