subject_id,arm,test_fold,cohort,dice_femur,assd_mm_femur,hd95_mm_femur,empty_prediction_femur,false_bridge_femur,dice_tibia,assd_mm_tibia,hd95_mm_tibia,empty_prediction_tibia,false_bridge_tibia,dice_patella,assd_mm_patella,hd95_mm_patella,empty_prediction_patella,false_bridge_patella,dice_fibula,assd_mm_fibula,hd95_mm_fibula,empty_prediction_fibula,false_bridge_fibula,dice_macro,assd_mm_macro
Case1,plain_prelu_style,3,fractured,0.4789822808753873,11.674884950686746,24.079742199097563,0.0,0.0,0.49568136922409,10.429447692041805,29.16899172280386,0.0,0.0,0.2414880806487707,12.509422321719072,22.77715583923945,0.0,0.0,0.0501105747390386,26.31320681248477,58.71861695035485,0.0,1.0,0.3165655763718217,15.231740444233097
Case1,plain_unet_style,3,fractured,0.5217034857335265,10.113955677003595,21.3668661424646,0.0,0.0,0.4912014415266248,10.762437204837624,29.902592514069745,0.0,0.0,0.2433983816774921,13.129972689468495,23.914418539084323,0.0,0.0,0.0487913983524716,26.59418833228326,56.77166946640149,0.0,1.0,0.3262736768225288,15.150138475898244
Case1,residual_relu_style,3,fractured,0.5625257305839072,8.448504915111593,18.221724671391563,0.0,0.0,0.5074713309394185,9.546807678933076,23.85052737886523,0.0,0.0,0.3252242058503059,8.597745423664295,20.9842341395291,0.0,0.0,0.0835420974974186,22.827823901901265,54.42767511469497,0.0,1.0,0.3696908412177626,12.355220479902556
Case1,residual_vnet_style,3,fractured,0.540154691449589,9.29210562760832,19.88737822087165,0.0,0.0,0.5039033518996313,9.645080128515657,24.407030237208296,0.0,0.0,0.325439518539129,8.915627247062494,22.110893278257667,0.0,0.0,0.0802154303941322,22.769160428280063,54.93970854993619,0.0,1.0,0.3624282480706204,12.655493357866632
Case11,plain_prelu_style,2,fractured,0.4813785546268337,11.393468954946757,25.04878053418968,0.0,1.0,0.4996785669297495,10.725894108113218,19.795092905187385,0.0,1.0,0.1631405929574707,16.357730959417808,35.19095509236003,0.0,0.0,0.0802971747632177,27.612358096717077,65.31268690164646,0.0,0.0,0.3061237223193179,16.522363029798715
Case11,plain_unet_style,2,fractured,0.4955880868939071,10.86897157771062,23.606163952715825,0.0,1.0,0.4752570922992584,11.539929380085312,20.161699844631155,0.0,1.0,0.1753603069234458,16.201192190366648,34.80729595303979,0.0,0.0,0.0792635292563549,28.317557204057614,66.02371437123936,0.0,0.0,0.3063672538432416,16.73191258805505
Case11,residual_relu_style,2,fractured,0.5379775326224379,9.614586019077642,20.3125,0.0,1.0,0.5757097870638809,8.305177315302002,17.258376589355095,0.0,1.0,0.2458117762995811,10.565232023928152,26.37225003657839,0.0,0.0,0.280006120770452,7.86319390507522,15.64451905820374,0.0,0.0,0.409876304189088,9.087047315845757
Case11,residual_vnet_style,2,fractured,0.5311971318743888,9.814583386566175,21.09375,0.0,1.0,0.5523881817539633,8.931936072083191,17.746588580625854,0.0,1.0,0.2257522998263739,11.379326505892829,28.437929255002025,0.0,0.0,0.2883256689962427,7.534501896904917,15.368996541332814,0.0,0.0,0.3994158206127421,9.415086965361777
Case13,plain_prelu_style,1,fractured,0.5236134984389799,10.569780362650462,23.04356438086348,0.0,1.0,0.4945453585583004,10.736839223759636,23.4375,0.0,1.0,0.2171884960065994,13.286392765282688,21.875,0.0,1.0,0.1193979911590407,18.71892493939837,41.29554777000784,0.0,1.0,0.3386863360407302,13.32798432277279
Case13,plain_unet_style,1,fractured,0.5234947354659814,10.840105946507595,23.030317145286997,0.0,1.0,0.5040406404963109,10.519234147987106,22.76375356927104,0.0,1.0,0.2924678839783469,10.235069242127397,18.9443057077846,0.0,1.0,0.1358400188074877,16.894957552699587,38.78809871033253,0.0,1.0,0.3639608196870317,12.122341722330422
Case13,residual_relu_style,1,fractured,0.59011775221359,8.504021385820373,19.46864967871424,0.0,1.0,0.5826259437536264,7.907512340833759,17.1875,0.0,1.0,0.2911622762919766,10.10745786966565,14.84375,0.0,1.0,0.2060681621526065,10.770233408393285,26.20392161132566,0.0,1.0,0.4174935336029499,9.322306251178263
Case13,residual_vnet_style,1,fractured,0.6006947797022432,7.968333733584945,17.60327284752491,0.0,1.0,0.5215474366212329,9.273589246117592,19.686879950553365,0.0,1.0,0.2744579436584878,10.593094884971451,18.798764711743694,0.0,1.0,0.1650321383606122,11.458461396212208,29.106150015933057,0.0,1.0,0.390433074585644,9.823369815221549
Case14,plain_prelu_style,3,fractured,0.5434478562270465,10.592619217790189,29.263001250512566,0.0,1.0,0.4940635120678791,10.380390322971753,20.267377767301323,0.0,1.0,0.0621020035465685,23.11580272080964,53.95152084568608,0.0,0.0,0.0835250603480234,26.76549208646685,68.98065886825441,0.0,1.0,0.2957846080473794,17.713576087009606
Case14,plain_unet_style,3,fractured,0.5384769517566615,10.547495932014284,29.74911369478089,0.0,1.0,0.4782857742482981,10.963186414559829,21.791133876533365,0.0,1.0,0.0722560975609756,22.50678219693597,50.98157572739504,0.0,0.0,0.074239040503636,27.781387694200035,69.69345546301317,0.0,1.0,0.2908144660173928,17.94971305942753
Case14,residual_relu_style,3,fractured,0.5086028483232776,9.566757498973416,24.705294220065465,0.0,1.0,0.5227864583333334,9.444187753610032,20.085875206535064,0.0,1.0,0.1640583172027511,11.62992329216072,23.41144384964328,0.0,0.0,0.144316043292486,18.469427403574898,47.29563867481543,0.0,1.0,0.3349409167879621,12.277573987079766
Case14,residual_vnet_style,3,fractured,0.5298832907015856,9.55793242618943,25.99344493689707,0.0,1.0,0.5013086954473931,10.034966816117276,21.381144036568763,0.0,1.0,0.1836730627453324,11.383213437921343,23.76079113397742,0.0,0.0,0.1360100523381802,18.73623644771688,47.14052396965897,0.0,1.0,0.3377187753081228,12.428087281986231
Case15,plain_prelu_style,0,fractured,0.5041553949244956,12.027252570331184,27.45513029813372,0.0,0.0,0.5287800956602472,10.556867230959725,22.22103539582483,0.0,0.0,0.3983910477369998,8.474769119993056,19.595207224042355,0.0,1.0,0.1094151373882323,21.078293093143696,45.405682679929605,0.0,0.0,0.3851854189274937,13.034295503606916
Case15,plain_unet_style,0,fractured,0.5415510990872971,10.53620389770349,23.773631335473343,0.0,0.0,0.5669297791419727,9.29132304928132,19.08873706698534,0.0,0.0,0.4706699777403209,6.619053724555337,14.084184669781209,0.0,1.0,0.1097158820903474,19.76757118163474,35.15625,0.0,0.0,0.4222166845149845,11.55353796329372
Case15,residual_relu_style,0,fractured,0.5706763211492604,9.423906258708032,22.426093897511443,0.0,0.0,0.6025427862345083,8.10193391401637,19.88737822087165,0.0,0.0,0.271321239724314,8.109906862194748,15.249391637455574,0.0,1.0,0.1770767085402213,13.39892348395431,25.012204052472065,0.0,0.0,0.405404263912076,9.758667629718364
Case15,residual_vnet_style,0,fractured,0.571404227717357,9.237663281551214,22.12469102891609,0.0,0.0,0.6045028647539494,8.022013379695872,19.88737822087165,0.0,0.0,0.2453767123287671,7.789880265858593,15.189236011893422,0.0,1.0,0.1691237567494713,13.867849353775409,26.180618875181317,0.0,0.0,0.3976018903873862,9.72935157022027
