,,occ_pct,occ_pct,ceiling_dice,ceiling_dice,bridging,bridging,deep_fill_pct,deep_fill_pct,holes_pct,holes_pct,n_components,n_components
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,variant,,,,,,,,,,,,
fractured,V0_baseline,2.602,0.505,0.467,0.047,0.0,0.0,0.0,0.0,,,2390.429,2851.967
fractured,V1_otsu,1.289,0.214,0.329,0.056,0.0,0.0,0.0,0.0,,,1363.143,1308.722
fractured,V2_cleanup,2.569,0.499,0.517,0.06,0.0,0.0,0.0,0.0,,,4.0,0.0
fractured,V3_solidify,4.017,0.661,0.643,0.081,0.429,0.787,11.464,9.956,4.819,6.819,1470.286,2238.496
fractured,V4_solid_clean,4.0,0.669,0.702,0.037,0.429,0.787,11.464,9.956,4.825,6.82,4.0,0.0
fractured,V5_anat_solid,3.889,0.659,0.69,0.037,0.0,0.0,10.561,8.774,6.916,6.173,6.429,2.225
fractured,V6_conservative,3.244,0.583,0.611,0.075,0.429,0.787,0.691,1.012,27.579,17.241,2.286,0.951
healthy,V0_baseline,3.217,0.851,0.515,0.014,0.0,0.0,0.0,0.0,,,534.0,360.111
healthy,V1_otsu,1.89,0.391,0.373,0.035,0.0,0.0,0.0,0.0,,,572.0,333.154
healthy,V2_cleanup,3.204,0.86,0.527,0.015,0.0,0.0,0.0,0.0,,,4.0,0.0
healthy,V3_solidify,4.9,1.345,0.691,0.016,0.5,0.577,15.938,9.794,7.192,2.78,129.5,90.482
healthy,V4_solid_clean,4.895,1.35,0.707,0.013,0.5,0.577,15.938,9.794,7.199,2.776,4.0,0.0
healthy,V5_anat_solid,4.936,1.509,0.705,0.01,0.0,0.0,15.678,11.458,6.806,1.856,8.25,2.062
healthy,V6_conservative,3.754,0.734,0.596,0.043,0.5,0.577,2.181,1.476,34.427,11.574,5.0,2.828
