sample_id,named_side,intrinsic_side,fibula_minus_tibia_lps_x_mm,status,source,selected_visual_review
VSD_001_Left,Left,Left,33.604118885592996,PASS,legacy_gt_per_bone_256_preliminary_audit,True
VSD_001_Right,Right,Right,-10.970316098504597,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_002_Left,Left,Left,27.91142102116227,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_002_Right,Right,Right,-22.977917705456434,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_005_Left,Left,Left,1.9884317079028762,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_005_Right,Right,Right,-13.320920708435224,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_006_Left,Left,Left,31.39071534743661,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_006_Right,Right,Right,-17.658478608433157,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_010_Left,Left,Left,26.9849932512313,PASS,legacy_gt_per_bone_256_preliminary_audit,True
VSD_010_Right,Right,Right,-30.000092289909347,PASS,legacy_gt_per_bone_256_preliminary_audit,True
VSD_014_Left,Left,Left,27.391839751917303,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_014_Right,Right,Right,-21.118533305420257,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_015_Left,Left,Left,9.329795730492009,PASS,legacy_gt_per_bone_256_preliminary_audit,True
VSD_015_Right,Right,Right,-21.4950897327803,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_016_Left,Left,Left,22.058786947095427,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_016_Right,Right,Right,-19.43307729031612,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_017_Left,Left,Left,27.07671754887025,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_017_Right,Right,Right,-15.890012325305776,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_019_Left,Left,Left,24.312114343309887,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_019_Right,Right,Right,-14.675214988113808,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_023_Left,Left,Left,27.99355259560042,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_023_Right,Right,Right,-29.060593287237964,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z001_Left,Left,Left,28.634373431527905,PASS,legacy_gt_per_bone_256_preliminary_audit,True
VSD_z001_Right,Right,Right,-13.234408758580358,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z004_Left,Left,Left,28.835119752289465,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z004_Right,Right,Right,-21.32994358260096,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z009_Left,Left,Left,1.0170280029262386,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z009_Right,Right,Right,-42.669619907660405,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z013_Left,Left,Left,17.122292498490125,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z013_Right,Right,Right,-22.100799286481077,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z023_Left,Left,Right,-7.0159473136333474,REVIEW_REQUIRED,legacy_gt_per_bone_256_preliminary_audit,True
VSD_z023_Right,Right,Right,-11.087087302512856,PASS,legacy_gt_per_bone_256_preliminary_audit,False
VSD_z027_Left,Left,Left,9.100353570002568,PASS,legacy_gt_per_bone_256_preliminary_audit,False
