path,artifact_type,classification,reason,item_count,bytes_total,final_selectable
.codex/agents/README.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/common_contract.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/registry.yaml,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_a_repository_audit.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_b_manifest_leakage.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_c_fracture_target_integrity.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_d_geometry_projection.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_e_decoder_fairness.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_f_training_reproducibility.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_g_fracture_supervision.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_h_metric_integrity.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_i_statistics.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_j_clinical_evaluation.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_k_provenance_reporting.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_l_academic_evidence.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/agent_n_independent_qa.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/roles/project_orchestrator.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/templates/decision_record.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/templates/handoff.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/templates/hpc_result_request.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/templates/independent_gate_review.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
.codex/agents/templates/task_brief.md,config_or_document,authoritative,foundation contract or canonical manifest,,,True
AGENTS.md,contract,authoritative,foundation contract or canonical manifest,,,True
CLAUDE.md,contract,authoritative,foundation contract or canonical manifest,,,True
TestProject/HPC/HPC_notebooks/modeling_HPC/01_encoder_pipeline.ipynb,notebook,provisional,not certified for final configuration,,,False
TestProject/HPC/HPC_notebooks/modeling_HPC/02_frontend_pretrain.ipynb,notebook,provisional,not certified for final configuration,,,False
TestProject/HPC/HPC_notebooks/modeling_HPC/03_decoder_pipeline.ipynb,notebook,provisional,not certified for final configuration,,,False
TestProject/HPC/HPC_notebooks/modeling_HPC/04_decoder_comparison.ipynb,notebook,provisional,not certified for final configuration,,,False
TestProject/HPC/HPC_notebooks/pre_processing_HPC/drr_generation.ipynb,notebook,reusable,active notebook-first foundation workflow,,,False
TestProject/HPC/HPC_notebooks/pre_processing_HPC/predrr_preprocessing.ipynb,notebook,reusable,active notebook-first foundation workflow,,,False
TestProject/HPC/HPC_notebooks/pre_processing_HPC/vsd_gt_watertight.ipynb,notebook,provisional,not certified for final configuration,,,False
TestProject/HPC/HPC_notebooks/pre_processing_HPC/vsd_merge_laterality_audit.ipynb,notebook,provisional,not certified for final configuration,,,False
TestProject/HPC/HPC_notebooks/pre_processing_HPC/vsd_ts_ground_truth.ipynb,notebook,provisional,not certified for final configuration,,,False
TestProject/HPC/HPC_results/encoder_pipeline_result,output_collection,generated,generated output collection,3.0,342997733.0,False
TestProject/HPC/HPC_results/encoder_pipeline_result/encoder_simclr_history.csv,report,generated,derived report or documentation,,,False
TestProject/HPC/HPC_results/encoder_pipeline_result/encoder_simclr_trainstate.pth,report,generated,derived report or documentation,,,False
TestProject/HPC/HPC_results/encoder_pipeline_result/simclr_pretrain_split.csv,report,generated,derived report or documentation,,,False
TestProject/HPC/HPC_results/frontend_pretrain_result,output_collection,generated,generated output collection,5.0,21895.0,False
TestProject/HPC/HPC_results/frontend_pretrain_result/neutral_history_fold0.csv,report,generated,derived report or documentation,,,False
TestProject/HPC/HPC_results/frontend_pretrain_result/neutral_history_fold1.csv,report,generated,derived report or documentation,,,False
TestProject/HPC/HPC_results/frontend_pretrain_result/neutral_history_fold2.csv,report,generated,derived report or documentation,,,False
TestProject/HPC/HPC_results/frontend_pretrain_result/neutral_history_fold3.csv,report,generated,derived report or documentation,,,False
TestProject/HPC/HPC_results/frontend_pretrain_result/neutral_history_fold4.csv,report,generated,derived report or documentation,,,False
TestProject/artifacts/old_models/convnextv2_simclr_encoder.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/convnextv2_simclr_encoder_best.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/convnextv2_simclr_encoder_epoch000.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/convnextv2_simclr_encoder_epoch025.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/convnextv2_simclr_encoder_epoch050.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/convnextv2_simclr_encoder_epoch075.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/convnextv2_simclr_encoder_epoch100.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/convnextv2_simclr_encoder_epoch125.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/decoders/fold0/frozen/unet/unet_best.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/decoders/fold0/frozen/unet/unet_epoch000.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/decoders/fold0/frozen/unet/unet_epoch001.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/decoders/fold0/frozen/unet/unet_last.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/decoders/neutral_fold0/neutral_best.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/decoders/neutral_fold0/neutral_epoch000.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/decoders/neutral_fold0/neutral_epoch001.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/decoders/neutral_fold0/neutral_last.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/encoder_simclr_trainstate.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/artifacts/old_models/front_end_fold0.pth,checkpoint,provisional,checkpoint requires fold provenance and gate review,,,False
TestProject/configs/baseline_protocol_v1.json,config_or_document,authoritative,foundation contract or canonical manifest,,,True
TestProject/configs/data_contract_v1.json,config_or_document,authoritative,foundation contract or canonical manifest,,,True
TestProject/configs/vsd_laterality_overrides_v1.json,config_or_document,authoritative,foundation contract or canonical manifest,,,True
TestProject/data/interim/DRRs,output_collection,legacy,unversioned preprocessing output,287.0,42893972.0,False
TestProject/data/interim/DRRs_diffdrr_lps_256_v1,output_collection,provisional,versioned output awaits HPC evidence,0.0,0.0,False
TestProject/data/interim/fracture_roi_lps_256_v1,output_collection,provisional,versioned output awaits HPC evidence,0.0,0.0,False
TestProject/data/interim/fractured_cast_cleaned,output_collection,generated,generated output collection,2.0,96984815.0,False
TestProject/data/interim/gt_per_bone_256,output_collection,legacy,legacy TSDF or unversioned target path,579.0,136061875.0,False
TestProject/data/interim/gt_per_bone_lps_256_v1,output_collection,provisional,versioned output awaits HPC evidence,0.0,0.0,False
TestProject/data/interim/gt_per_bone_occ_64,output_collection,generated,generated output collection,9.0,37749888.0,False
